index,type,start,end,text
0,cue,"00:00:06,000","00:00:07,480",[melodic chime]
1,cue,"00:00:13,680","00:00:15,240","<i>Okay, this is it.</i>"
2,cue,"00:00:15,440","00:00:17,360","<i>Will Harry forgive drop-dead gorgeous,</i>"
3,cue,"00:00:17,440","00:00:20,640","<i>ten-out-of-ten hottie,
and girl of his dreams, Francesca?</i>"
4,cue,"00:00:20,720","00:00:22,000",<i>What do you think?</i>
5,cue,"00:00:22,080","00:00:23,680","[Harry] You're so lucky,"
6,cue,"00:00:24,400","00:00:27,016","cause the guy before today
would've just been like, ""Take a hike."""
7,cue,"00:00:27,040","00:00:29,320","Like, big lesson from today was..."
8,cue,"00:00:30,040","00:00:33,680","- leave everything in the past.
- Yeah, that's what... I'm doing that."
9,cue,"00:00:34,040","00:00:35,280","It's 'cause, yeah..."
10,cue,"00:00:35,360","00:00:37,360","- 'Cause you're here.
- 'Cause I'm here..."
11,cue,"00:00:38,880","00:00:40,680",asking for you back.
12,cue,"00:00:41,400","00:00:44,400","If I left here without, like,
without trying"
13,cue,"00:00:45,240","00:00:47,000","for... With you, it would..."
14,cue,"00:00:47,920","00:00:49,800",just be a waste.
15,cue,"00:00:50,440","00:00:52,960","<i>Oh, spit it out, Harry.
You're really milking it.</i>"
16,cue,"00:00:53,520","00:00:55,960","- [Harry] We both have a long way to go.
- [Francesca] Mm-hmm."
17,cue,"00:00:56,360","00:00:59,040","And if we are gonna give this
another crack,"
18,cue,"00:00:59,120","00:01:00,760",we have to promise each other...
19,cue,"00:01:01,880","00:01:03,080",a couple of things.
20,cue,"00:01:03,440","00:01:04,440","Number one,"
21,cue,"00:01:04,680","00:01:06,600",I want you to give me 110 percent.
22,cue,"00:01:06,680","00:01:09,016","I don't want you to be
fucking around with these other guys."
23,cue,"00:01:09,040","00:01:12,600","I want you to be invested
in developing a relationship"
24,cue,"00:01:13,000","00:01:14,640",and giving me everything.
25,cue,"00:01:15,000","00:01:16,000","Number two,"
26,cue,"00:01:16,760","00:01:17,880",communicate with me.
27,cue,"00:01:17,960","00:01:20,520","If you're upset, no matter what about,
tell me."
28,cue,"00:01:20,600","00:01:24,680","The last thing I want is people upset,
especially the person I care for the most."
29,cue,"00:01:27,080","00:01:28,080",And number three...
30,cue,"00:01:30,440","00:01:32,000",I don't want to break the rules.
31,cue,"00:01:32,880","00:01:35,720","<i>Wait, what? Is this some kind of joke?</i>"
32,cue,"00:01:35,800","00:01:38,680","I want to be taught.
Like, I want it to feel right."
33,cue,"00:01:38,760","00:01:40,720","- Who are you?
- I know it's a bit of a shock,"
34,cue,"00:01:40,800","00:01:42,720","- but I don't wanna break the rules.
- Okay."
35,cue,"00:01:42,800","00:01:45,200","<i>Either Harry's playing
some kind of Jedi mind trick</i>"
36,cue,"00:01:45,280","00:01:49,000","<i>to get down under,
or he's actually making progress.</i>"
37,cue,"00:01:49,080","00:01:51,360","I'm feeling like a man.
I'm moving forward."
38,cue,"00:01:51,440","00:01:53,760","I'm taking the lessons
that I've learned today,"
39,cue,"00:01:53,840","00:01:56,360","and I'm just gonna try and grow
and develop."
