index,type,start,end,text
0,cue,"00:00:06,000","00:00:07,240",[melodic chime]
1,cue,"00:00:08,880","00:00:14,920",[Latin pop music plays]
2,cue,"00:00:22,480","00:00:24,880","Would you be annoyed if they had sex
and they cost us money?"
3,cue,"00:00:24,960","00:00:26,800",Not a fucking chance.
4,cue,"00:00:26,880","00:00:29,120","Go in, son, get those bickies.
Have a nibble."
5,cue,"00:00:29,200","00:00:30,240",Taste that apple pie.
6,cue,"00:00:30,320","00:00:31,600",[he laughs]
7,cue,"00:00:31,680","00:00:35,480","[Bryce] I think everyone's a little bit
jealous of hashtag Sharonda."
8,cue,"00:00:36,040","00:00:41,040","I have little to no faith that, um,
they just held hands all night."
9,cue,"00:00:41,120","00:00:43,200",<i>♪ We're gonna shake it up ♪</i>
10,cue,"00:00:43,280","00:00:44,280",You feel good?
11,cue,"00:00:45,040","00:00:46,080",Of course.
12,cue,"00:00:46,440","00:00:48,320",I feel like I just won the lottery.
13,cue,"00:00:48,400","00:00:52,040","<i>The question is,
did Rhonda see your bonus balls?</i>"
14,cue,"00:00:52,120","00:00:54,480","<i>Because if Sharron did get
a lucky dip last night,</i>"
15,cue,"00:00:54,560","00:00:56,640",<i>it could cost the group a fortune.</i>
16,cue,"00:00:56,720","00:00:59,800","I'm sure they'll come back
grinning from ear to ear this morning."
17,cue,"00:01:01,400","00:01:03,280","[Kelz] Mate,
he better not cost me money, man."
18,cue,"00:01:04,600","00:01:05,600",[Kelz groans]
19,cue,"00:01:13,120","00:01:14,160",[Sharron] Screw money.
20,cue,"00:01:14,560","00:01:15,400",[he laughs]
21,cue,"00:01:15,480","00:01:18,840","God, we owe Lana
after last night. [laughs]"
22,cue,"00:01:21,320","00:01:24,640","That is the last thing that's on my mind.
It's not even in my mind"
23,cue,"00:01:24,720","00:01:25,760",when I'm with you.
24,cue,"00:01:25,840","00:01:28,120","Like, when I'm looking at you,
I don't care."
25,cue,"00:01:28,200","00:01:30,280","Like, I'm just gonna do
what I feel is right."
