"index","type","start","end","text"
"0","cue","00:00:06,048","00:00:07,883","[audience applauding, cheering]"
"1","cue","00:00:17,309","00:00:18,560","[Vanessa cheering]"
"2","cue","00:00:18,644","00:00:21,521","Welcome to <i>Love Is Blind: The Reunion.</i>"
"3","cue","00:00:21,980","00:00:23,982","{\an8}I wanna say we are sorry we're late."
"4","cue","00:00:24,066","00:00:27,319","{\an8}We are no longer live,
but we are now finally here."
"5","cue","00:00:27,402","00:00:28,237","{\an8}Yes!"
"6","cue","00:00:28,320","00:00:29,446","{\an8}[audience applauding, cheering]"
"7","cue","00:00:29,530","00:00:30,739","-Finally!
-We're here."
"8","cue","00:00:30,822","00:00:33,450","And all of you at home,
you haven't missed a thing."
"9","cue","00:00:33,534","00:00:36,745","We've been sitting in these couches
not talking to each other,"
"10","cue","00:00:36,828","00:00:38,705","so we could save all the tea for you."
"11","cue","00:00:38,789","00:00:41,458","We're gonna be diving into this season's
most talked about moments."
"12","cue","00:00:41,542","00:00:43,502","-The I dos, the I don'ts,
-Hmm."
"13","cue","00:00:43,752","00:00:45,504","and all of the love triangles."
"14","cue","00:00:45,671","00:00:48,757","We have exclusive,
never before seen footage from the show,"
"15","cue","00:00:48,840","00:00:52,970","plus we'll have a sneak peek at what
our married couples' home lives are like."
"16","cue","00:00:53,053","00:00:55,055","-Yes, yes.
-[all cheering]"
"17","cue","00:00:55,472","00:00:57,599","But, guys,
that's enough business up front."
"18","cue","00:00:57,683","00:00:58,600","Let's get into it."
"19","cue","00:00:58,684","00:01:01,478","Audience, please give our cast
a huge round of applause."
"20","cue","00:01:01,603","00:01:04,398","[audience applauding, cheering]"
"21","cue","00:01:07,651","00:01:10,612","As always, we want to thank all of you"
"22","cue","00:01:10,696","00:01:12,906","for having so much courage
to share your love"
"23","cue","00:01:12,990","00:01:15,075","and to share your lives on <i>Love Is Blind.</i>"
"24","cue","00:01:15,284","00:01:17,119","-Jackie and Josh aren't here,
-Mm."
"25","cue","00:01:17,202","00:01:19,955","but I sat down with them
for an exclusive interview"
"26","cue","00:01:20,038","00:01:21,790","that we will show you
later on in the show."
"27","cue","00:01:21,873","00:01:25,669","Plus, we will be joined by Irina
here in studio in just a bit."
"28","cue","00:01:26,044","00:01:28,255","-[chuckles]
-[audience booing, cheering]"
"29","cue","00:01:28,380","00:01:30,716","-Oh, okay, we got a 50-50 audience.
-[chuckles]"
"30","cue","00:01:30,799","00:01:34,386","First, I want to say hi to Marshall,
Micah and Paul."
"31","cue","00:01:34,469","00:01:36,430","-Hey, y'all.
-[both snicker] Yeah, yeah!"
"32","cue","00:01:36,513","00:01:38,098","[audience applauding, cheering]"
"33","cue","00:01:39,141","00:01:41,935","Paul, a little heartbreak shirt?
What is that?"
"34","cue","00:01:42,019","00:01:44,104","-Little heartbreak shirt.
-A little heartbreak shirt. Okay."
"35","cue","00:01:44,187","00:01:46,148","Okay. Zack and Bliss.
A little coordination."
"36","cue","00:01:46,231","00:01:48,442","-[Vanessa] Hi. How are ya'll?
-[Bliss] Hi."
"37","cue","00:01:49,109","00:01:50,861","-We're good.
-You're good?"
"38","cue","00:01:50,944","00:01:54,156","And I'm judging by the outfit and
the socks, y'all are still married."
"39","cue","00:01:54,239","00:01:56,491","-And the rings.
-And the rings."
"40","cue","00:01:56,825","00:01:57,951","-Dead giveaway.
-[all chuckling]"
"41","cue","00:01:58,035","00:02:01,246","[Vanessa] Did the owl portrait make it
into your love nest together?"
"42","cue","00:02:01,330","00:02:02,372","[Bliss] Yes, it is."
"43","cue","00:02:02,456","00:02:04,583","Yup, it's right there.
We see it every day."
"44","cue","00:02:04,666","00:02:06,543","-[Vanessa] Oh, yay! Okay.
-[Nick] All right."
"45","cue","00:02:06,627","00:02:08,545","[Nick] Kwame, Chelsea.
Great to see you guys."
"46","cue","00:02:08,629","00:02:10,297","-Yeah!
-[audience cheering]"
"47","cue","00:02:10,380","00:02:14,009","Let's get the business out of the way.
Still happily married at this point?"
"48","cue","00:02:14,092","00:02:15,719","-Yes.
-Very happily married, yes."
"49","cue","00:02:15,844","00:02:18,513","-Still feeding each other strawberries?
-All the good things."
"50","cue","00:02:18,597","00:02:20,974","Oh, all good things,
including the strawberries."
"51","cue","00:02:21,058","00:02:22,059","[Vanessa] Ooh!"
"52","cue","00:02:22,142","00:02:24,978","And last but certainly not least,
Brett and Tiffany."
"53","cue","00:02:25,062","00:02:27,147","[audience applauding, cheering]"
"54","cue","00:02:29,608","00:02:33,862","Still madly in love
and happy as ever, I'm assuming."
"55","cue","00:02:33,945","00:02:35,238","-Absolutely.
-Absolutely."
"56","cue","00:02:35,322","00:02:37,491","-...didn't see.
-[all chuckling]"
"57","cue","00:02:37,616","00:02:39,868","[Nick] Hey,
careful with the NSYNC references."
"58","cue","00:02:39,951","00:02:42,371","[Vanessa] We only do 98 Degrees references
in this family."
"59","cue","00:02:42,454","00:02:44,331","-Sorry.
-You're both looking sharp."
"60","cue","00:02:44,414","00:02:45,957","But, Brett especially sharp."
"61","cue","00:02:46,333","00:02:49,711","I have to ask. Did bougie Brett
get this suit custom made?"
"62","cue","00:02:49,795","00:02:52,214","-This is a 100 percent custom suit.
-Okay."
"63","cue","00:02:52,297","00:02:53,423","[audience applauding]"
"64","cue","00:02:53,548","00:02:54,925","And the kicks?"
"65","cue","00:02:55,801","00:02:58,220","You know, I had to make
some statement sneakers."
"66","cue","00:02:58,303","00:03:00,555","I didn't make 'em,
but I had to wear some statements."
"67","cue","00:03:00,680","00:03:03,058","I was gonna joke,
but it was too long of a delay"
"68","cue","00:03:03,225","00:03:06,937","that we were actually late
because Brett was getting his pants fixed."
"69","cue","00:03:07,104","00:03:10,273","Anyways, Tiffany, your romance,"
"70","cue","00:03:10,357","00:03:12,234","Brett, your romance together is hot."
"71","cue","00:03:12,317","00:03:13,527","Watching you guys sit here."
"72","cue","00:03:13,652","00:03:16,571","We've sat here for an hour watching
you guys just all over each other,"
"73","cue","00:03:16,655","00:03:17,739","so madly in love."
"74","cue","00:03:17,823","00:03:19,074","Obviously watching the wedding."
"75","cue","00:03:19,157","00:03:21,118","We saw you guys. It was a fairy tale."
"76","cue","00:03:21,201","00:03:23,578","The fairy tales continued in life,
I'm assuming?"
"77","cue","00:03:23,662","00:03:24,704","[Tiffany] Oh, absolutely."
"78","cue","00:03:24,788","00:03:27,249","I mean... Well, so here's the thing."
"79","cue","00:03:27,332","00:03:31,420","I actually moved down to Portland
and it was like such a..."
"80","cue","00:03:31,503","00:03:33,839","{\an8}I don't know,
it was just a big change for me."
"81","cue","00:03:33,922","00:03:38,176","{\an8}But one thing that our family has always
said and supported us on is like,"
"82","cue","00:03:38,260","00:03:40,220","""Look, never stop dating."""
"83","cue","00:03:40,345","00:03:42,931","And that's one thing that
Brett is really good with."
"84","cue","00:03:43,014","00:03:44,349","-It's true.
-[Vanessa] Aww."
"85","cue","00:03:44,433","00:03:47,060","-Yeah. Yeah.
-He keeps sweeping you off your feet."
"86","cue","00:03:47,144","00:03:50,147","-He does.
-In a sense, you keep it hot and spicy."
"87","cue","00:03:50,230","00:03:52,733","But you need to give yourself
some credit, Tiffany,"
"88","cue","00:03:52,816","00:03:54,651","because I don't know if you remember"
"89","cue","00:03:54,735","00:03:57,028","on your wedding day
after y'all got married,"
"90","cue","00:03:57,154","00:03:59,406","you were very eager to go
to the bridal suite."
"91","cue","00:03:59,531","00:04:00,657","[Tiffany] Oh, my Gosh!"
"92","cue","00:04:00,741","00:04:04,035","You wanted to sneak away so bad,
and this is a reality show."
"93","cue","00:04:04,327","00:04:08,415","So this is our never before seen clip
of when they hit the bridal suite."
"94","cue","00:04:08,498","00:04:09,958","[audience applauding, cheering]"
"95","cue","00:04:10,500","00:04:11,585","Roll the tape."
"96","cue","00:04:12,043","00:04:12,878","Nah, for real?"
"97","cue","00:04:13,170","00:04:14,296","[audience laughing]"
"98","cue","00:04:14,546","00:04:15,464","[Brett] Tiffany."
"99","cue","00:04:30,353","00:04:31,396","{\an8}[sighs]"
"100","cue","00:04:33,982","00:04:34,900","[Tiffany giggles]"
"101","cue","00:04:37,319","00:04:38,320","Okay."
"102","cue","00:04:38,945","00:04:40,113","Of course I was joking."
"103","cue","00:04:40,197","00:04:42,240","I'm not gonna air your dirty laundry."
"104","cue","00:04:42,365","00:04:44,159","I'm curious.
Did you go back to the bridal..."
"105","cue","00:04:44,242","00:04:46,828","-What is it called when you...
-Get a little quickie in."
"106","cue","00:04:46,912","00:04:48,079","No, not a quickie."
"107","cue","00:04:48,163","00:04:49,331","[all laughing]"
"108","cue","00:04:49,456","00:04:52,125","-No, when you get married...
-You consummate."
"109","cue","00:04:52,209","00:04:54,169","[Vanessa] Yeah. That's what it is."
"110","cue","00:04:54,252","00:04:57,047","Did you consummate? Is this TMI?"
"111","cue","00:04:57,130","00:05:00,133","I mean, I wanted to,
but I love messing around with him."
"112","cue","00:05:00,217","00:05:01,635","I'm quite the jokester."
"113","cue","00:05:01,718","00:05:03,386","-Brett...
-We're both jokesters."
"114","cue","00:05:03,512","00:05:04,805","Yeah. Yeah."
"115","cue","00:05:04,888","00:05:06,515","You didn't want
to mess up the suit just yet."
"116","cue","00:05:06,598","00:05:07,808","-Not yet.
-Okay."
"117","cue","00:05:07,933","00:05:09,476","Time and place for everything."
"118","cue","00:05:09,559","00:05:11,937","I will say, that moment
of you falling asleep, Tiffany,"
"119","cue","00:05:12,020","00:05:14,689","is definitely going to go down
in the <i>Love Is Blind</i> archives."
"120","cue","00:05:14,773","00:05:16,608","And you're probably never
going to live it down."
